company,station_from,station_to,departure_date,departure_time,arrival_date,arrival_time,code,wagons,on_time,cancelled
Company D,Venice,Turin,2024-03-21,10:45:00,2024-03-21,15:20:00,JKL987654321,7,0,0
Company E,Turin,Naples,2024-04-05,07:20:00,2024-04-05,11:40:00,MNO123456789,5,1,1
Company G,Bologna,Genoa,2024-04-07,16:45:00,2024-04-07,21:15:00,STU123456789,6,0,0
Company H,Genoa,Palermo,2024-03-22,08:55:00,2024-03-22,14:05:00,VWX987654321,7,1,0
Company L,Syracuse,Pisa,2024-04-12,13:15:00,2024-04-12,18:40:00,EFG987654321,7,1,0
Company M,Pisa,Verona,2024-04-13,15:50:00,2024-04-13,21:25:00,GHI123456789,8,1,0
Company N,Verona,Ancona,2024-04-14,11:00:00,2024-04-14,16:45:00,IJK987654321,5,1,0
Company O,Ancona,Milan,2024-04-15,17:30:00,2024-04-15,21:55:00,KLM123456789,6,1,0
Company P,Milan,Rome,2024-04-16,08:45:00,2024-04-16,13:20:00,MNO987654321,7,1,0
Company Q,Rome,Florence,2024-04-17,10:00:00,2024-04-17,14:45:00,NOP123456789,8,1,0
Company R,Florence,Venice,2024-04-18,12:20:00,2024-04-18,17:05:00,PQR987654321,6,1,0
Company S,Venice,Turin,2024-04-19,14:55:00,2024-04-19,19:40:00,RST123456789,5,1,0
Company T,Turin,Naples,2024-04-20,09:10:00,2024-04-20,14:25:00,STU987654321,4,1,0
Company U,Naples,Bologna,2024-04-21,11:30:00,2024-04-21,17:15:00,TUV123456789,7,1,0
Company V,Bologna,Genoa,2024-04-22,13:40:00,2024-04-22,18:25:00,UVW987654321,8,1,0
Company W,Genoa,Palermo,2024-04-23,07:05:00,2024-04-23,11:50:00,VWX123456789,6,1,0
Company X,Palermo,Bari,2024-04-24,16:20:00,2024-04-24,21:05:00,XYZ987654321,5,1,0
Company Y,Bari,Catania,2024-04-25,08:50:00,2024-04-25,13:35:00,YZA123456789,4,1,0
Company Z,Catania,Syracuse,2024-04-26,12:15:00,2024-04-26,17:00:00,ZAB987654321,7,1,0
Company AA,Syracuse,Pisa,2024-04-27,14:30:00,2024-04-27,19:15:00,ABC123456789,8,1,0
Company BB,Pisa,Verona,2024-04-28,10:40:00,2024-04-28,15:25:00,BCD987654321,5,1,0
Company CC,Verona,Ancona,2024-04-29,09:20:00,2024-04-29,14:05:00,CDE123456789,6,1,0
Company DD,Ancona,Milan,2024-04-30,11:55:00,2024-04-30,16:40:00,DEF987654321,7,1,0
Company EE,Milan,Rome,2024-05-01,13:10:00,2024-05-01,17:55:00,EFG123456789,8,1,0
Company FF,Rome,Florence,2024-05-02,14:45:00,2024-05-02,19:30:00,FGH987654321,4,1,0